Episode,Loss,Reward,Quality,Rebuffer,Switch
154,1.53327967,6834.58,405.33,4.4647,7.5250
155,1.61960740,3465.86,403.52,5.5565,8.1750
156,1.47248128,5687.18,400.44,4.7639,8.6000
157,1.34569195,10144.04,403.71,3.3306,9.9000
158,1.40831036,8787.66,404.00,3.7917,7.5250
159,1.20172169,1794.04,398.34,6.0257,9.1500
160,1.39595997,7901.54,396.40,3.9580,8.9000
161,1.34369688,2925.95,398.01,5.6426,9.3000
162,1.35264312,8645.06,404.42,3.8501,5.0750
163,1.27897075,-1761.35,396.35,7.1781,8.9500
164,1.17137605,5105.90,393.99,4.8464,10.8250
165,1.26767788,5562.45,406.48,4.9099,6.3250
166,1.20707578,8310.65,397.79,3.8432,9.8500
167,1.25746657,4560.77,404.33,5.2078,6.4250
168,1.28056020,8878.08,403.53,3.7527,8.0750
169,1.39689536,5551.97,396.76,4.7420,12.0000
